"","X","Latitude","Longitude","Elevation","BackgroundSpecies","Family","Genus","Species","Sub.species","VernacularNames","Length","GenusSpecies","fileCount"
"113",1492,"-23.267","-45.028","1100","","Furnariidae","Sclerurus","scansor","","Rufous-breasted Leaftosser",26.385737,"Sclerurus scansor",16
"114",1498,"-27.916","-50.757","1017","","Tyrannidae","Tolmomyias","sulphurescens","","Yellow-olive Flatbill",18.436009,"Tolmomyias sulphurescens",14
"115",1510,"NULL","NULL","1080","","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",19.965714,"Rhopias gularis",14
"116",1511,"-3.6668","-45.8465","20","","Thamnophilidae","Formicivora","grisea","","Southern White-fringed Antwren",19.786213,"Formicivora grisea",10
"117",1513,"-26.3","-48.83","160","","Thamnophilidae","Myrmeciza","squamosa","","Squamate Antbird",37.692177,"Myrmeciza squamosa",14
"118",1525,"-24.1834","-46.9001","10","Cnemotriccus fuscatus,Procnias nudicollis,Vireo olivaceus","Polioptilidae","Ramphocaenus","melanurus","melanurus","Long-billed Gnatwren",32.627415,"Ramphocaenus melanurus",10
"119",1535,"-16.5617","-56.6984","120","","Thamnophilidae","Taraba","major","","Great Antshrike",27.240816,"Taraba major",10
"120",1537,"-6.1242","-50.4382","650","","Tyrannidae","Camptostoma","obsoletum","","Southern Beardless Tyrannulet",31.076168,"Camptostoma obsoletum",18
"121",1541,"-9.5981","-55.932","250","Habia rubica","Furnariidae","Glyphorynchus","spirurus","inornatus","Wedge-billed Woodcreeper",36.466576,"Glyphorynchus spirurus",10
"122",1548,"-20.7084","-46.1334","920","","Accipitridae","Rupornis","magnirostris","","Roadside Hawk",34.611519,"Rupornis magnirostris",27
"123",1551,"-9.3001","-35.9334","550","","Thamnophilidae","Pyriglena","leuconota","pernambucensis","White-backed Fire-eye",16.179433,"Pyriglena leuconota",12
"124",1579,"-15.0334","-44.2501","750","Formicivora melanogaster,Hylopezus ochroleucus,Cyclarhis gujanensis,Myiothlypis flaveola","Conopophagidae","Conopophaga","lineata","lineata","Rufous Gnateater",37.232766,"Conopophaga lineata",17
"125",1582,"-6.1802","-50.2968","440","","Psittacidae","Amazona","farinosa","","Mealy Amazon",34.688685,"Amazona farinosa",16
"126",1584,"NULL","NULL","650","","Falconidae","Milvago","chimachima","","Yellow-headed Caracara",22.555533,"Milvago chimachima",18
"127",1586,"4.165","-51.617","1","","Psittacidae","Amazona","amazonica","","Orange-winged Amazon",30.215102,"Amazona amazonica",14
"128",1618,"-23.012","-44.5351","50","Procnias nudicollis,Ramphocelus bresilius","Thamnophilidae","Myrmeciza","squamosa","","Squamate Antbird",22.726712,"Myrmeciza squamosa",14
"129",1625,"-15.457","-55.68","700","Crypturellus undulatus,Campylorhynchus turdinus,Furnarius rufus,Vanellus chilensis","Icteridae","Cacicus","cela","","Yellow-rumped Cacique",29.535828,"Cacicus cela",11
"130",1637,"NULL","NULL","800","","Thamnophilidae","Taraba","major","","Great Antshrike",23.76068,"Taraba major",10
"131",1660,"-22.898","-45.994","1300","","Pipridae","Chiroxiphia","caudata","","Blue Manakin",18.902404,"Chiroxiphia caudata",21
"132",1723,"-22.7524","-45.5571","1800","","Furnariidae","Cichlocolaptes","leucophrus","","Pale-browed Treehunter",35.786032,"Cichlocolaptes leucophrus",14
"133",1730,"-23.5001","-45.2167","30","","Furnariidae","Philydor","atricapillus","","Black-capped Foliage-gleaner",17.11898,"Philydor atricapillus",11
"134",1732,"NULL","NULL","499","","Falconidae","Micrastur","ruficollis","","Barred Forest Falcon",17.111134,"Micrastur ruficollis",12
"135",1751,"-23.0726","-45.9388","700","","Tyrannidae","Platyrinchus","mystaceus","","White-throated Spadebill",27.488186,"Platyrinchus mystaceus",13
"136",1790,"-23.5001","-45.2167","?","","Conopophagidae","Conopophaga","melanops","","Black-cheeked Gnateater",37.496054,"Conopophaga melanops",15
"137",1797,"-9.5981","-55.932","250","","Cardinalidae","Habia","rubica","","Red-crowned Ant Tanager",18.886372,"Habia rubica",14
"138",1798,"-23.0917","-43.5584","15","Myrmotherula axillaris","Troglodytidae","Pheugopedius","genibarbis","","Moustached Wren",26.2778,"Pheugopedius genibarbis",12
"139",1825,"-3.4834","-54.9167","50","","Thamnophilidae","Thamnomanes","caesius","","Cinereous Antshrike",29.242562,"Thamnomanes caesius",12
"140",1830,"-22.5001","-42.7167","35","Camptostoma obsoletum","Falconidae","Milvago","chimachima","chimachima","Yellow-headed Caracara",21.796621,"Milvago chimachima",18
"141",1851,"-31.72889","-52.48944","0","","Tyrannidae","Tolmomyias","sulphurescens","","Yellow-olive Flatbill",44.420635,"Tolmomyias sulphurescens",14
"142",1856,"-20.2503","-46.3667","900","","Turdidae","Turdus","leucomelas","leucomelas","Pale-breasted Thrush",16.36678,"Turdus leucomelas",18
"143",1872,"-22.38","-44.63","1700","Hylopezus nattereri,Tijuca atra","Fringillidae","Chlorophonia","cyanea","cyanea","Blue-naped Chlorophonia",29.185964,"Chlorophonia cyanea",11
"144",1884,"-8.6114","-35.0392","0","","Accipitridae","Rupornis","magnirostris","","Roadside Hawk",28.571927,"Rupornis magnirostris",27
"145",1927,"-10.7427","-68.2818","220","Crypturellus undulatus,Hemitriccus iohannis,Attila spadiceus","Troglodytidae","Cantorchilus","leucotis","","Buff-breasted Wren",27.867664,"Cantorchilus leucotis",17
"146",1938,"-2.028","-59.997","50","Myiozetetes cayanensis,Ramphocelus carbo,Tolmomyias assimilis","Thamnophilidae","Microrhopias","quixensis","","Dot-winged Antwren",17.177914,"Microrhopias quixensis",11
"147",1959,"-27.39726","-49.379082","400","","Furnariidae","Automolus","leucophthalmus","","White-eyed Foliage-gleaner",37.156848,"Automolus leucophthalmus",11
"148",1975,"-22.3023","-43.077","1000","Troglodytes aedon,Saltator similis,Turdus leucomelas,Basileuterus culicivorus,Veniliornis maculifrons,Patagioenas picazuro,Leptotila verreauxi","Tyrannidae","Megarynchus","pitangua","","Boat-billed Flycatcher",19.019728,"Megarynchus pitangua",11
"149",1978,"-9.2456","-55.987","240","","Tyrannidae","Hemitriccus","griseipectus","","White-bellied Tody-Tyrant",43.010726,"Hemitriccus griseipectus",10
"150",1993,"-22.6771","-47.9831","460","","Psittacidae","Forpus","xanthopterygius","","Blue-winged Parrotlet",18.492698,"Forpus xanthopterygius",11
"151",2000,"-22.898","-45.994","1300","","Accipitridae","Rupornis","magnirostris","","Roadside Hawk",26.616077,"Rupornis magnirostris",27
"152",2030,"-6.1802","-50.2968","440","Procnias albus,Cyclarhis gujanensis","Tyrannidae","Myiodynastes","maculatus","","Streaked Flycatcher",30.863424,"Myiodynastes maculatus",14
"153",2052,"-32.316","-52.422","13","","Parulidae","Myiothlypis","leucoblephara","","White-rimmed Warbler",20.441746,"Myiothlypis leucoblephara",14
"154",2062,"-23.8501","-54.2537","340","Gnorimopsar chopi","Picidae","Melanerpes","candidus","","White Woodpecker",25.279206,"Melanerpes candidus",10
"155",2070,"-20.79","-42.8882","800","","Tyrannidae","Hirundinea","ferruginea","","Cliff Flycatcher",17.013356,"Hirundinea ferruginea",12
"156",2081,"-3.3848","-51.9245","100","Ramphastos tucanus,Lipaugus vociferans","Thamnophilidae","Pyriglena","leuconota","","White-backed Fire-eye",35.215805,"Pyriglena leuconota",12
"157",2103,"-16.9398","-56.8834","110","Pitangus sulphuratus","Psittacidae","Anodorhynchus","hyacinthinus","","Hyacinth Macaw",29.206213,"Anodorhynchus hyacinthinus",11
"158",2107,"-23.5667","-45.3167","10","","Tyrannidae","Myiozetetes","similis","pallidiventris","Social Flycatcher",20.499524,"Myiozetetes similis",18
"159",2113,"-7.963528","-35.673294","390","","Troglodytidae","Cantorchilus","longirostris","","Long-billed Wren",35.503243,"Cantorchilus longirostris",10
"160",2121,"-23.6334","-45.8667","825","Conopophaga lineata","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",29.534263,"Rhopias gularis",14
"161",2126,"-22.3023","-43.077","1400","Saltator similis","Furnariidae","Campylorhamphus","falcularius","","Black-billed Scythebill",40.382177,"Campylorhamphus falcularius",10
"162",2137,"-9.5981","-55.932","260","","Troglodytidae","Cantorchilus","leucotis","","Buff-breasted Wren",26.247528,"Cantorchilus leucotis",17
"163",2185,"-24.2834","-48.4334","800","Picumnus temminckii,Sporophila frontalis","Psittacidae","Brotogeris","tirica","","Plain Parakeet",23.452834,"Brotogeris tirica",15
"164",2197,"-23.0401","-46.0328","700","Synallaxis ruficapilla","Furnariidae","Campylorhamphus","falcularius","","Black-billed Scythebill",15.07322,"Campylorhamphus falcularius",10
"165",2232,"-3.2231","-59.8664","20","","Cuculidae","Crotophaga","major","","Greater Ani",35.801814,"Crotophaga major",10
"166",2237,"-19.138","-40.047","100","Vireo olivaceus,Crypturellus soui,Setophaga pitiayumi,Celeus torquatus","Icteridae","Cacicus","haemorrhous","","Red-rumped Cacique",42.925102,"Cacicus haemorrhous",20
"167",2243,"-6.1657","-50.3445","390","Ramphocaenus melanurus","Tyrannidae","Lophotriccus","galeatus","","Helmeted Pygmy Tyrant",22.71585,"Lophotriccus galeatus",11
"168",2258,"-3.6668","-45.8465","20","","Cuculidae","Crotophaga","ani","","Smooth-billed Ani",17.613764,"Crotophaga ani",14
