"","X","MediaId","FileName","ClassId","Date","Time","Locality","Latitude","Longitude","Elevation","Author","AuthorID","Content","Comments","Quality","Year","BackgroundSpecies","Order","Family","Genus","Species","Sub.species","VernacularNames","Length","GenusSpecies","fileCount"
"11",112,10136,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10136.wav","gupfgh","2005-11-06","17:33","Caxiuanã Scientific Station","-1.7375","-51.4556","12","Jeremy Minns","DGVLLRYDXS","call","Terra firme forest. Two different calls.","1","BirdCLEF2014","","Passeriformes","Thamnophilidae","Thamnomanes","caesius","hoffmannsi","Cinereous Antshrike",29.499637,"Thamnomanes caesius",12
"12",126,10155,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10155.wav","jirbln","2006-04-22","08:12","Estância Santa Maria - Jaguarão, Rio Grande do Sul","-32.5662","-53.3759","25","Fernando Jacobs","MHHPJBCUXC","call, flight call","","2","BirdCLEF2014","Basileuterus culicivorus","Piciformes","Picidae","Melanerpes","candidus","","White Woodpecker",27.744195,"Melanerpes candidus",10
"13",138,10173,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10173.wav","mkqlxe","2002-06-10","16:48","Ubatuba, SP. Folha Seca.","-23.5001","-45.2167","30","Jeremy Minns","DGVLLRYDXS","call","Humid forest on lower slopes of the Serra do Mar. Three birds on top of a tree.","2","BirdCLEF2014","Hypoedaleus guttatus","Passeriformes","Tyrannidae","Myiozetetes","similis","pallidiventris","Social Flycatcher",18.364263,"Myiozetetes similis",18
"14",156,10199,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10199.wav","uiqpgc","1997-05-30","07:00","Ubatuba, SP. Sertao das Cotias.","-23.5001","-45.2167","100","Jeremy Minns","DGVLLRYDXS","call","Humid forest on the foothills of the coastal escarpment.","2","BirdCLEF2014","Trichothraupis melanops","Passeriformes","Turdidae","Turdus","albicollis","albicollis","White-necked Thrush",15.500113,"Turdus albicollis",10
"15",170,10220,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10220.wav","myvkag","2009-10-01","16:00","Cristalino Jungle Lodge, MT","-9.5981","-55.932","250","Andrew Spencer","CDTGHVBGZP","call","","1","BirdCLEF2014","","Falconiformes","Falconidae","Ibycter","americanus","","Red-throated Caracara",42.503583,"Ibycter americanus",14
"16",176,10231,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10231.wav","vqsusq","2004-05-28","07:30","Itatiaia NP, RJ","-22.38","-44.63","1150","Nick Athanas","XRABICUARW","call","","1","BirdCLEF2014","Micrastur ruficollis,Hemitriccus furcatus,Anabazenops fuscus","Passeriformes","Furnariidae","Campylorhamphus","falcularius","","Black-billed Scythebill",16.882268,"Campylorhamphus falcularius",10
"17",186,10245,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10245.wav","pzlgrh","2007-02-16","13:57","Praça Abilio de Abreu - Guabirotuba district - Curitiba - Parana","-25.4578","-49.2467","850","Raphael Sobania","FJNHLSWOEJ","call","30 individuals","2","BirdCLEF2014","","Psittaciformes","Psittacidae","Brotogeris","tirica","","Plain Parakeet",24.619433,"Brotogeris tirica",15
"18",195,10255,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10255.wav","vjavkh","2004-04-07","06:49","Intervales State Park. Carmo road","-24.2834","-48.4334","800","Jeremy Minns","DGVLLRYDXS","call","Humid forest. Two birds vocalizing. This is Call B in our DVD-ROM 'Birds of Brazil'.","1","BirdCLEF2014","Drymophila ferruginea","Passeriformes","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",21.822789,"Rhopias gularis",14
"19",196,10256,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10256.wav","qldqit","2008-12-26","08:50","Reserva Volta Velha, Itapoá, SC","-26.0834","-48.6334","10","Eduardo Patrial","QEFRRVCRRP","call","","2","BirdCLEF2014","","Passeriformes","Furnariidae","Philydor","atricapillus","","Black-capped Foliage-gleaner",38.043628,"Philydor atricapillus",11
"20",217,10289,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10289.wav","aiiwiu","2010-10-08","06:22","Paragominas, PA, Brazil, Bacia 245","-3.1253","-46.8456","?","Nargila Moura","CWEIBYBYYD","call","overgrown cattle pasture","3","BirdCLEF2014","Taraba major,Elaenia flavogaster,Todirostrum cinereum,Poecilotriccus fumifrons,Camptostoma obsoletum,Myiophobus fasciatus,Phaeomyias murina,Pitangus sulphuratus,Tyrannus melancholicus,Saltator coerulescens,Thraupis episcopus","Psittaciformes","Psittacidae","Psittacara","leucophthalmus","leucophthalmus","White-eyed Parakeet",21.696281,"Psittacara leucophthalmus",12
"21",220,10291,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10291.wav","gmeajz","2010-11-30","05:58","Bacia 103, Santarem","-2.623","-54.957","?","Alexander Lees","INDDBZAFJL","call","secondary forest","0","BirdCLEF2014","Dendrocolaptes certhia,Myiopagis gaimardii,Turdus leucomelas,Vireo olivaceus","Passeriformes","Pipridae","Chiroxiphia","pareola","pareola","Blue-backed Manakin",34.532585,"Chiroxiphia pareola",14
"22",257,10343,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10343.wav","jnqggx","2010-10-09","08:35","Paragominas, PA, Brazil, Bacia 245","-3.1253","-46.8456","?","Alexander Lees","INDDBZAFJL","call","selectively-logged primary forest","2","BirdCLEF2014","Tyranneutes stolzmanni","Passeriformes","Furnariidae","Glyphorynchus","spirurus","paraensis","Wedge-billed Woodcreeper",28.604376,"Glyphorynchus spirurus",10
"23",261,1034,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN1034.wav","vumzkv","2011-03-01","16:25","RPPN Chácara Edith, Brusque, Santa Catarina","-27.1017","-48.8887","30","Glauco Kohler","JDNMEJOJEQ","call","","2","BirdCLEF2014","","Passeriformes","Furnariidae","Cichlocolaptes","leucophrus","","Pale-browed Treehunter",18.250136,"Cichlocolaptes leucophrus",14
"24",288,10388,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10388.wav","kunsua","2012-07-21","08:30","Juiz de Fora, Minas Gerais","-21.765","-43.3488","700","Noé Eiterer","TWSKITNQOV","call","bird-seen:yesplayback-used:yes","1","BirdCLEF2014","","Passeriformes","Furnariidae","Sclerurus","scansor","","Rufous-breasted Leaftosser",29.098299,"Sclerurus scansor",16
"25",294,10394,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10394.wav","bmiqmk","2007-12-01","7:15","Taboao - Itabirito MG","-21.98667","-44.03389","901","Paulo C. Almeida","WUCKALYSZW","call, song","Breeding song 04 birds","2","BirdCLEF2014","","Passeriformes","Pipridae","Chiroxiphia","caudata","","Blue Manakin",32.468503,"Chiroxiphia caudata",21
"26",310,1041,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN1041.wav","tsxwwl","2006-11-07","06:17","Parque do Zizo, Sao Paulo state","-24.017146","-47.81044","650","Jeremy Minns","DGVLLRYDXS","call","Humid forest. In bamboo. Female. This is Call A in our DVD-ROM 'Birds of Brazil'.","1","BirdCLEF2014","","Passeriformes","Thamnophilidae","Myrmeciza","squamosa","","Squamate Antbird",24.287166,"Myrmeciza squamosa",14
"27",315,10425,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10425.wav","scjydk","2012-10-12","05:50","Pousada Piuval, Transpantaneira km 12, MT","-16.3834","-56.6167","120","Andrew Spencer","CDTGHVBGZP","call","natural vocalizations, calls from a distant flying pair of birds at the edge of gallery woodland in more open savanna.bird-seen:yesplayback-used:no","1","BirdCLEF2014","","Psittaciformes","Psittacidae","Anodorhynchus","hyacinthinus","","Hyacinth Macaw",41.934717,"Anodorhynchus hyacinthinus",11
"28",316,10426,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10426.wav","uphahj","2013-10-07","09:00","Fazenda Country, Canavieiras, Bahia state","-15.4263","-39.0117","50","Antonio Silveira","NBJQSQJRYH","call, male","A male call perched on a top of the tree in the forest. and the end another male singing in the background.bird-seen:yesplayback-used:no","3","BirdCLEF2014","","Accipitriformes","Accipitridae","Rupornis","magnirostris","","Roadside Hawk",33.530227,"Rupornis magnirostris",27
"29",319,10429,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10429.wav","qpxgvo","2009-05-20","17:12","Fazenda Santa Tereza, Rio Pixaim, Mato Grosso","-16.7501","-56.8501","?","Paul Donahue","LLRXADGTBA","call","","2","BirdCLEF2014","","Passeriformes","Tyrannidae","Hemitriccus","margaritaceiventer","","Pearly-vented Tody-Tyrant",34.757574,"Hemitriccus margaritaceiventer",11
"30",328,10439,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10439.wav","mkqlxe","2010-09-00","?","Campo Mourão, Paraná","NULL","NULL","350","luiz shrike","ORPKXJRFDZ","call","","3","BirdCLEF2014","Tapera naevia,Pitangus sulphuratus","Passeriformes","Tyrannidae","Myiozetetes","similis","","Social Flycatcher",21.824853,"Myiozetetes similis",18
"31",368,10495,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10495.wav","uiqpgc","2010-10-30","05:42","Paragominas, PA, Brazil, Bacia 245","-3.1253","-46.8456","?","Alexander Lees","INDDBZAFJL","call","primary forest","4","BirdCLEF2014","Glyphorynchus spirurus,Trogon rufus","Passeriformes","Turdidae","Turdus","albicollis","crotopezus?","White-necked Thrush",17.212086,"Turdus albicollis",10
"32",370,10499,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10499.wav","qwxjxm","2007-04-01","08:30","Morro da Urca - Rio de Janeiro","-22.9501","-43.1667","150","Ricardo Gagliardi","YRDADNREOP","call","","2","BirdCLEF2014","","Passeriformes","Tyrannidae","Cnemotriccus","fuscatus","fuscatus","Fuscous Flycatcher",40.260499,"Cnemotriccus fuscatus",10
"33",387,10522,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10522.wav","ewisum","2007-07-22","09:00","Distrito de Dirceu, ca 14 km de Marília, SP","NULL","NULL","?","Thiago Vernaschi V. Costa","FPHQAPNAFU","call","","5","BirdCLEF2014","","Passeriformes","Parulidae","Basileuterus","culicivorus","","Golden-crowned Warbler",20.83678,"Basileuterus culicivorus",14
"34",393,10529,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10529.wav","rlqpij","2013-10-31","09:00","Vale do Quilombo, Gramado, Rio Grande do Sul state","-29.3762","-50.8526","600","Antonio Silveira","NBJQSQJRYH","call, male","Bird perched on high tree and call.bird-seen:yesplayback-used:no","0","BirdCLEF2014","","Passeriformes","Tyrannidae","Myiodynastes","maculatus","","Streaked Flycatcher",20.153401,"Myiodynastes maculatus",14
"35",399,10538,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10538.wav","exwfyy","2003-04-09","16:08","Pousada Thaimaçu. Rio São Benedito","-9.0501","-56.5834","250","Jeremy Minns","DGVLLRYDXS","call","Dense secondary growth in deforested area. Three different calls.","1","BirdCLEF2014","","Passeriformes","Thamnophilidae","Myrmeciza","atrothorax","melanura","Black-throated Antbird",27.368186,"Myrmeciza atrothorax",12
"36",456,10617,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10617.wav","bogxos","2001-01-24","07:55","Maraú, BA","-14.1334","-39.0501","50","Jeremy Minns","DGVLLRYDXS","songs a and b and calls","Open area in humid forest on white sand. Three birds. Song B is the duet by a pair of birds at the end","2","BirdCLEF2014","","Passeriformes","Tyrannidae","Megarynchus","pitangua","pitangua","Boat-billed Flycatcher",27.078209,"Megarynchus pitangua",11
"37",460,10623,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10623.wav","oublby","2010-08-13","07:20","Paragominas, PA, Brazil, Bacia 315","-3.3214","-47.5139","?","Alexander Lees","INDDBZAFJL","flight call","secondary forest","2","BirdCLEF2014","Crypturellus soui,Aratinga jandaya,Amazona amazonica,Tapera naevia,Pheugopedius genibarbis,Coereba flaveola","Coraciiformes","Alcedinidae","Megaceryle","torquata","","Ringed Kingfisher",16.562971,"Megaceryle torquata",10
"38",492,10663,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10663.wav","qwxjxm","2004-10-27","06:30","Barbalha, Chapado do Araripe, south of Ceará State.","-7.3834","-39.3501","600","Ciro Albano","MXVQPUKGWW","call","","1","BirdCLEF2014","","Passeriformes","Tyrannidae","Cnemotriccus","fuscatus","bimaculatus","Fuscous Flycatcher",29.384308,"Cnemotriccus fuscatus",10
"39",530,10719,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10719.wav","armfvy","2006-09-24","7:20","Praia do Gamela, Sirinhaém, Pernambuco","-8.6114","-35.0392","0","Mauricio Cabral Periquito","HERKCTHDZI","call, song","","4","BirdCLEF2014","Mimus saturninus","Passeriformes","Tyrannidae","Camptostoma","obsoletum","","Southern Beardless Tyrannulet",18.753243,"Camptostoma obsoletum",18
"40",556,10751,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10751.wav","qwxjxm","2002-02-11","17:08","Pirapora, MG","-17.3584","-44.8501","540","Jeremy Minns","DGVLLRYDXS","call","Rio das Velhas. Disturbed riparian thickets.  This is Call A in our DVD-ROM 'Birds of Brazil'.","2","BirdCLEF2014","","Passeriformes","Tyrannidae","Cnemotriccus","fuscatus","bimaculatus","Fuscous Flycatcher",18.808118,"Cnemotriccus fuscatus",10
"41",563,1076,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN1076.wav","aiigbg","2011-11-25","14:58","Reserva Ecológica de Guapi Açu (REGUA), RJ","-22.4508","-42.7735","300","Eric DeFonso","KTLCZCRCQX","call","Sharp calls. Recorded from the Green Trailthat heads into the higher hills of the reserve,  in a bamboo section by the roadside.bird-seen:yesplayback-used:no","2","BirdCLEF2014","","Passeriformes","Furnariidae","Sittasomus","griseicapillus","","Olivaceous Woodcreeper",21.070295,"Sittasomus griseicapillus",11
"42",567,10773,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10773.wav","rcvrfz","2007-06-17","09:50","near Arroio Santa Bárbara - Pelotas, Rio Grande do Sul","-31.7184","-52.3276","20","Fernando Jacobs","MHHPJBCUXC","call","","3","BirdCLEF2014","","Passeriformes","Fringillidae","Euphonia","chlorotica","","Purple-throated Euphonia",35.372132,"Euphonia chlorotica",13
"43",606,10824,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10824.wav","gncrmz","2001-11-22","15:46","Road to Remanso, Lençóis, Chapada Diamantina, BA","-12.5834","-41.3667","400","Jeremy Minns","DGVLLRYDXS","call","Humid forest. Male. This is Call A in our DVD-ROM 'Birds of Brazil'.","1","BirdCLEF2014","","Passeriformes","Thamnophilidae","Pyriglena","leucoptera","","White-shouldered Fire-eye",24.264172,"Pyriglena leucoptera",12
"44",630,10854,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10854.wav","exwfyy","2003-03-24","06:37","Vila Bela da Santíssima Trindade","-14.9834","-59.9834","225","Jeremy Minns","DGVLLRYDXS","call","Same bird. Natural","1","BirdCLEF2014","","Passeriformes","Thamnophilidae","Myrmeciza","atrothorax","melanura","Black-throated Antbird",26.575079,"Myrmeciza atrothorax",12
"45",642,10867,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10867.wav","jefgxc","2002-08-01","08:55","Perequê - Angra dos Reis - RJ","-23.012","-44.5351","50","Jeremy Minns","DGVLLRYDXS","call","Secondary humid forest and overgrown plantations. Male.","2","BirdCLEF2014","Procnias nudicollis,Myrmeciza squamosa","Piciformes","Galbulidae","Galbula","ruficauda","rufoviridis","Rufous-tailed Jacamar",25.931043,"Galbula ruficauda",11
"46",661,10893,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10893.wav","relbkx","2004-02-19","xx:xx","Parque Nacional Itatiaia (Hotel Simon), Rio de Janeiro","NULL","NULL","1080","Bernabe Lopez-Lanus","BYLLSJRVDZ","call","","1","BirdCLEF2014","","Passeriformes","Tyrannidae","Tolmomyias","sulphurescens","sulphurescens","Yellow-olive Flatbill",19.775828,"Tolmomyias sulphurescens",14
"47",664,10897,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10897.wav","qfjwpy","1997-08-21","18:05","Intervales State Park. Residential area","-24.2667","-48.4167","830","Jeremy Minns","DGVLLRYDXS","call","Field with short grass beside a lake.","2","BirdCLEF2014","","Charadriiformes","Charadriidae","Vanellus","chilensis","lampronotus","Southern Lapwing",32.047687,"Vanellus chilensis",19
"48",672,10905,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10905.wav","oublby","2004-03-18","07:00","Mata do Crasto, Município de Santa Luzia do Itanhy, Sergipe","-11.3834","-37.4001","10","Jeremy Minns","DGVLLRYDXS","flight call","Bushy scrub on white sand and mangroves.","2","BirdCLEF2014","","Coraciiformes","Alcedinidae","Megaceryle","torquata","torquata","Ringed Kingfisher",15.861383,"Megaceryle torquata",10
"49",704,10945,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10945.wav","lgdqns","2002-01-25","06:51","Rio Araguaia. Caseara","-9.2667","-49.9334","170","Jeremy Minns","DGVLLRYDXS","call","Flooded forest beside road to ferry. Pair.","2","BirdCLEF2014","Cercomacra ferdinandi,Pheugopedius genibarbis","Psittaciformes","Psittacidae","Amazona","amazonica","","Orange-winged Amazon",15.653175,"Amazona amazonica",14
"50",727,10980,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10980.wav","armfvy","1997-08-21","11:38","Intervales State Park. Residential area","-24.2667","-48.4167","830","Jeremy Minns","DGVLLRYDXS","call","Garden of pousada. These are calls A and D in our DVD-ROM 'Birds of Brazil'.","2","BirdCLEF2014","","Passeriformes","Tyrannidae","Camptostoma","obsoletum","obsoletum","Southern Beardless Tyrannulet",21.626553,"Camptostoma obsoletum",18
"51",731,10989,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10989.wav","myvkag","2011-09-11","09:00","Parauapebas, Para","-6.1242","-50.4382","650","GABRIEL LEITE","TGBFXDVERJ","call","bird-seen:yesplayback-used:no","2","BirdCLEF2014","Hylophylax naevius","Falconiformes","Falconidae","Ibycter","americanus","","Red-throated Caracara",27.493016,"Ibycter americanus",14
"52",752,1101,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN1101.wav","qfjwpy","2011-05-28","06:42","Paragominas, PA, Brazil, Bacia 274","-3.2348","-47.3714","?","Nargila Moura","CWEIBYBYYD","alarm call","cattle pasture","0","BirdCLEF2014","Leptotila verreauxi,Crotophaga ani,Tapera naevia,Sturnella militaris","Charadriiformes","Charadriidae","Vanellus","chilensis","lampronotus","Southern Lapwing",41.135896,"Vanellus chilensis",19
"53",759,11028,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN11028.wav","bmiqmk","2011-06-19","08:30","São Francisco Xavier, São José dos Campos,São Paulo state, Brazil","-22.898","-45.994","1300","GABRIEL LEITE","TGBFXDVERJ","call, male","bird-seen:yesplayback-used:no","3","BirdCLEF2014","","Passeriformes","Pipridae","Chiroxiphia","caudata","","Blue Manakin",30.911156,"Chiroxiphia caudata",21
"54",766,11038,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN11038.wav","uuvfxv","2008-08-09","pm","Serra dos Carajás, PA","-6.1603","-50.3459","680","Eduardo Patrial","QEFRRVCRRP","call, song","At 'Canga - N2'.","2","BirdCLEF2014","","Passeriformes","Parulidae","Myiothlypis","flaveola","","Flavescent Warbler",33.147732,"Myiothlypis flaveola",10
"55",813,11102,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN11102.wav","vjavkh","2005-11-23","8:15","Parque do Zizo, Sao Paulo State","-24.017146","-47.81044","630","Bob Planqué","OH38YHKJBS","call","","2","BirdCLEF2014","Turdus rufiventris,Basileuterus culicivorus","Passeriformes","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",20.146961,"Rhopias gularis",14
"56",826,11126,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN11126.wav","qwxjxm","2012-10-03","17:00","campo mourao, paraná","-24.331","-52.387","640","Luiz C. Silva","ORPKXJRFDZ","calls/whistles","","1","BirdCLEF2014","","Passeriformes","Tyrannidae","Cnemotriccus","fuscatus","","Fuscous Flycatcher",24.792925,"Cnemotriccus fuscatus",10
"57",845,11150,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN11150.wav","ssdpyu","2010-02-09","11:00","Palmeiras, Chapada Diamantina, Bahia.","-12.5304","-41.5757","750","GABRIEL LEITE","TGBFXDVERJ","call","bird-seen:yesplayback-used:no","3","BirdCLEF2014","","Passeriformes","Troglodytidae","Cantorchilus","longirostris","","Long-billed Wren",18.608639,"Cantorchilus longirostris",10
"58",856,11170,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN11170.wav","qfjwpy","2009-09-23","16:00","Cristalino Jungle Lodge, MT","-9.5981","-55.932","250","Andrew Spencer","CDTGHVBGZP","call","","1","BirdCLEF2014","","Charadriiformes","Charadriidae","Vanellus","chilensis","lampronotus","Southern Lapwing",33.39941,"Vanellus chilensis",19
"59",878,1119,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN1119.wav","ltmvlu","2002-02-02","09:00","Serra dos Carajás, Pará","-6.1603","-50.3459","400","David Beadle","ETVSBTKLBC","call","Calling from selectively logged river-edge forest.bird-seen:yesplayback-used:no","1","BirdCLEF2014","","Passeriformes","Furnariidae","Xiphorhynchus","guttatus","eytoni","Buff-throated Woodcreeper",44.054966,"Xiphorhynchus guttatus",11
"60",889,11211,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN11211.wav","aiigbg","2010-01-20","?","RPPN Prima Luna, Nova Trento, Santa Catarina","-27.258","-49.02","500","Evair Legal","SMJXFKLATM","call","","1","BirdCLEF2014","Lathrotriccus euleri","Passeriformes","Furnariidae","Sittasomus","griseicapillus","","Olivaceous Woodcreeper",15.457256,"Sittasomus griseicapillus",11
"61",890,11212,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN11212.wav","bmiqmk","2013-02-17","07:00","Sao Jose dos Campos, state of Sao Paulo","-23.0401","-46.0328","700","GABRIEL LEITE","TGBFXDVERJ","call, male","bird-seen:yesplayback-used:no","2","BirdCLEF2014","","Passeriformes","Pipridae","Chiroxiphia","caudata","","Blue Manakin",19.109297,"Chiroxiphia caudata",21
"62",898,11224,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN11224.wav","gmeajz","2001-11-10","06:04","Mata do Crasto, Município de Santa Luzia do Itanhy, Sergipe","-11.3834","-37.4001","10","Jeremy Minns","DGVLLRYDXS","call, song","Coastal white sand forest. Several birds vocalizing. These are calls A and B in our DVD-ROM 'Birds of Brazil'.","2","BirdCLEF2014","","Passeriformes","Pipridae","Chiroxiphia","pareola","pareola","Blue-backed Manakin",23.208821,"Chiroxiphia pareola",14
